Date : 2024-09-26 21:00:55
Directory : c:\xampp\htdocs\logistica
Total : 244 files,  25401 codes, 3481 comments, 3214 blanks, all 32096 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\bootstrap-reboot.scss                              | SCSS       |          6 |          8 |          2 |         16 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\bootstrap-utilities.scss                           | SCSS       |          6 |          9 |          4 |         19 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\bootstrap.scss                                     | SCSS       |         36 |         12 |          5 |         53 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\forms\_floating-labels.scss                        | SCSS       |         51 |          4 |          7 |         62 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\forms\_form-check.scss                             | SCSS       |        119 |          9 |         25 |        153 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\forms\_form-control.scss                           | SCSS       |        156 |         33 |         31 |        220 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\forms\_form-range.scss                             | SCSS       |         71 |          7 |         14 |         92 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\forms\_form-select.scss                            | SCSS       |         54 |          6 |          8 |         68 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\forms\_form-text.scss                              | SCSS       |          7 |          3 |          2 |         12 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\forms\_input-group.scss                            | SCSS       |         81 |         21 |         20 |        122 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\forms\_labels.scss                                 | SCSS       |         27 |          5 |          5 |         37 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\forms\_validation.scss                             | SCSS       |          3 |          8 |          2 |         13 |
| c:\xampp\htdocs\logistica\public\scss\bootstrap\scss\helpers\_clearfix.scss                             | SCSS       |          3 |          0 |          1 |          4 |
