"filename", "language", "PHP", "JavaScript", "SCSS", "Markdown", "CSS", "JSON", "XML", "Python", "comment", "blank", "total"
"c:\xampp\htdocs\logistica\resources\views\events\edit.blade.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\logistica\resources\views\events\index.blade.php", "PHP", 44, 0, 0, 0, 0, 0, 0, 0, 0, 3, 47
"c:\xampp\htdocs\logistica\resources\views\events\postulantes.blade.php", "PHP", 58, 0, 0, 0, 0, 0, 0, 0, 0, 2, 60
"c:\xampp\htdocs\logistica\resources\views\events\show.blade.php", "PHP", 52, 0, 0, 0, 0, 0, 0, 0, 0, 5, 57
"c:\xampp\htdocs\logistica\resources\views\home.blade.php", "PHP", 72, 0, 0, 0, 0, 0, 0, 0, 0, 4, 76
"c:\xampp\htdocs\logistica\resources\views\layouts\app.blade.php", "PHP", 108, 0, 0, 0, 0, 0, 0, 0, 0, 17, 125
"c:\xampp\htdocs\logistica\resources\views\layouts\auth.blade.php", "PHP", 52, 0, 0, 0, 0, 0, 0, 0, 0, 12, 64
"c:\xampp\htdocs\logistica\resources\views\logistics\create.blade.php", "PHP", 45, 0, 0, 0, 0, 0, 0, 0, 0, 6, 51
"c:\xampp\htdocs\logistica\resources\views\logistics\edit.blade.php", "PHP", 48, 0, 0, 0, 0, 0, 0, 0, 0, 1, 49
"c:\xampp\htdocs\logistica\resources\views\logistics\index.blade.php", "PHP", 44, 0, 0, 0, 0, 0, 0, 0, 0, 3, 47
"c:\xampp\htdocs\logistica\resources\views\logistics\show.blade.php", "PHP", 40, 0, 0, 0, 0, 0, 0, 0, 0, 4, 44
"c:\xampp\htdocs\logistica\resources\views\roles\index.blade.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 0, 0, 4, 36
"c:\xampp\htdocs\logistica\resources\views\solicitudes\create.blade.php", "PHP", 37, 0, 0, 0, 0, 0, 0, 0, 0, 8, 45
"c:\xampp\htdocs\logistica\resources\views\solicitudes\edit.blade.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
